id,vehicle_name,vehicle_type,supplier,supplier_abbr,recipient,recipient_abbr,count,is_delivered,is_soviet,proof
0,Su-25,Aircraft,Macedonia,MAC,Ukraine,UA,4,True,False,https://i.postimg.cc/9fFtzknc/47j.png
1,MiG-29AS'/UBS',Aircraft,Slovakia,SLVK,Ukraine,UA,10,True,False,https://i.postimg.cc/BbwRwDPK/87500.png
2,MiG-29As/UB,Aircraft,Slovakia,SLVK,Ukraine,UA,3,True,False,https://i.postimg.cc/mgrKWmyF/87500.png
3,MiG-29,Aircraft,Poland,PL,Ukraine,UA,14,True,False,https://i.postimg.cc/x17pDndW/8740.png
4,F-16A/B,Aircraft,Netherlands,NTHL,Ukraine,UA,24,True,False,https://i.postimg.cc/WbLWWzmG/30765
5,F-16AM/BM,Aircraft,Denmark,DEN,Ukraine,UA,19,True,False,https://i.postimg.cc/WbLWWzmG/30765
6,F-16AM/BM,Aircraft,Norway,NOR,Ukraine,UA,14,True,False,https://i.postimg.cc/nzS84vvB/658
7,F-16AM/BM,Aircraft,Belgium,BLG,Ukraine,UA,30,True,False,https://i.postimg.cc/nzS84vvB/658
8,Mirage 2000-5 fighter jet,Aircraft,France,FR,Ukraine,UA,6,True,False,https://i.postimg.cc/5t9gqkv2/mirage2000
9,An-32B,Aircraft,Croatia,CRO,Ukraine,UA,2,True,False,https://i.postimg.cc/tTkfkjZ7/an32b.jpg
10,Mi-17V5,Helicopters,United States,USA,Ukraine,UA,20,True,False,https://i.postimg.cc/RV5jF49Q/image.jpg
11,Mi-8MT,Helicopters,United States,USA,Ukraine,UA,1,True,False,https://i.postimg.cc/2S62YqVS/image.jpg
12,Mi-24V,Helicopters,Czech Republic,CZ,Ukraine,UA,8,False,False,https://i.postimg.cc/zBtTMPNc/image.jpg
13,Mi-2,Helicopters,Slovakia,SLVK,Ukraine,UA,1,True,False,https://i.postimg.cc/L6J37yqF/6689.png
14,Mi-17,Helicopters,Slovakia,SLVK,Ukraine,UA,4,True,False,https://i.postimg.cc/SxpDHwwY/886.png
15,Mi-2,Helicopters,Latvia,LTV,Ukraine,UA,2,True,False,https://i.postimg.cc/qMqGkSW0/image.jpg
16,Mi-17,Helicopters,Latvia,LTV,Ukraine,UA,4,True,False,https://i.postimg.cc/d1YNhVXj/image.jpg
17,Westland Sea King,Helicopters,United Kingdom,UK,Ukraine,UA,3,True,False,https://i.postimg.cc/nzVD3QJZ/image.jpg
18,Mi-8T,Helicopters,Croatia,CRO,Ukraine,UA,2,True,False,https://i.postimg.cc/mDYGgVpN/873.png
19,Mi-8PS,Helicopters,Croatia,CRO,Ukraine,UA,1,True,False,https://i.postimg.cc/1tq3cpCf/487.png
20,Mi-8MTV-1,Helicopters,Croatia,CRO,Ukraine,UA,10,True,False,https://i.postimg.cc/bYgGwRtR/38kp.png
21,Mi-8MTV-1VA,Helicopters,Croatia,CRO,Ukraine,UA,1,True,False,https://i.postimg.cc/NGJVtWp7/3u7.png
22,Mi-24V,Helicopters,Poland,PL,Ukraine,UA,12,True,False,https://i.postimg.cc/kgrpz8QX/image.jpg
23,Mi-8,Helicopters,Poland,PL,Ukraine,UA,2,True,False,https://postimg.cc/K1YtCpyR
24,Mi-2AM-1 medevac helicopter,Helicopters,Poland,PL,Ukraine,UA,1,True,False,https://i.postimg.cc/8cWpMvGc/Mi
25,Bell 412-HP Medium Transport Helicopter,Helicopters,Poland,PL,Ukraine,UA,1,True,False,https://x.com/Jeff21461/status/1870454539243188346
26,Mi-8,Helicopters,Lithuania,LITH,Ukraine,UA,2,True,False,https://postimg.cc/K1YtCpyR
27,Mi-171E transport helicopter,Helicopters,NONE,NONE,Ukraine,UA,2,True,False,https://postimg.cc/K1YtCpyR
28,Mi-24V,Helicopters,Macedonia,MAC,Ukraine,UA,10,True,False,https://i.postimg.cc/cCxNzw1x/35y.png
29,Mi-24K,Helicopters,Macedonia,MAC,Ukraine,UA,2,True,False,https://i.postimg.cc/Wbs3RqYJ/387k.png
30,Ka-32A11BC,Helicopters,Portugal,POR,Ukraine,UA,6,True,False,https://i.postimg.cc/xj7bC4RB/468.png
31,Sea King helicopter,Helicopters,Germany,GER,Ukraine,UA,6,True,False,https://i.postimg.cc/Xvj5QHGF/sea
32,Bayraktar TB2,Unmanned Combat Aerial Vehicles,Turkey,TRK,Ukraine,UA,35,True,False,https://i.postimg.cc/N0n17mfj/ezgif
33,T-72M1,Tanks,Germany,GER,Ukraine,UA,20,True,False,https://i.postimg.cc/W4cTJ6wp/image.jpg
34,Ringtausch,Tanks,Germany,GER,Ukraine,UA,0,True,False,https://www.oryxspioenkop.com/2022/09/flawed
35,T-72M(1),Tanks,Czech Republic,CZ,Ukraine,UA,98,True,False,https://postimg.cc/Q9qCLVn4
36,T-72M(R)s and T-72M1(R),Tanks,Poland,PL,Ukraine,UA,280,True,False,https://i.postimg.cc/N0Bdqc24/image.jpg
37,T-72A,Tanks,Macedonia,MAC,Ukraine,UA,31,True,False,https://twitter.com/UAWeapons/status/1552975117336076290
38,M-55S',Tanks,Germany,GER,Ukraine,UA,28,True,False,https://i.postimg.cc/HsbNf3PT/luuf95ms2x9a1.jpg
39,Ringtausch,Tanks,Germany,GER,Ukraine,UA,0,True,False,https://www.oryxspioenkop.com/2022/09/flawed
40,T-72EA,Tanks,Netherlands,NTHL,Ukraine,UA,45,True,False,https://i.postimg.cc/Sxc8ZhbN/T
41,T-72,Tanks,Netherlands,NTHL,Ukraine,UA,30,True,False,https://i.postimg.cc/KjygcsNq/ea
42,T-72EA,Tanks,United States,USA,Ukraine,UA,45,True,False,https://i.postimg.cc/Sxc8ZhbN/T
43,Leopard 2A4,Tanks,Poland,PL,Ukraine,UA,14,True,False,https://i.postimg.cc/CMDHQWVS/image.jpg
44,Leopard 2A4,Tanks,Canada,CAN,Ukraine,UA,8,True,False,https://i.postimg.cc/m2ynMfLn/image.jpg
45,Leopard 2A4,Tanks,Norway,NOR,Ukraine,UA,8,False,False,https://i.postimg.cc/sDKPLNRF/image.jpg
46,Leopard 2A6,Tanks,Germany,GER,Ukraine,UA,18,True,False,https://i.postimg.cc/5NgW8H6x/German
