id,name,type,status,manufacturer,manufacturer_abbr,user,user_abbr,image_proof_link,image_proof_link_direct,year_first_produced,confirmed_lost_date
1,T-54-3M,Tanks,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/zBC4NPVv,https://i.postimg.cc/zBC4NPVv/1032-unkn-t55-destr-18-02-24.jpg,,2024-02-18
2,T-54-3M,Tanks,damaged and abandoned,Soviet Union,USSR,Russia,RU,https://postimg.cc/s29RHpfN,https://i.postimg.cc/s29RHpfN/1036-T-54-3-M-dam-aband-21-02-24.jpg,,2024-02-21
3,T-54B,Tanks,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/02ZtkYNd,https://i.postimg.cc/02ZtkYNd/1020-T-54-B-destr-05-03-24.jpg,,2024-03-05
4,T-54B,Tanks,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/Z5SDNYNS,https://i.postimg.cc/Z5SDNYNS/1103-T-54-B-destr-17-08-24.jpg,,2024-08-17
5,T-55A,Tanks,destroyed,Soviet Union,USSR,Russia,RU,https://twitter.com/bayraktar_1love/status/1754060409693163926,https://twitter.com/bayraktar_1love/status/1754060409693163926,1963.0,
6,T-55A,Tanks,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/rsGYFggv,https://i.postimg.cc/rsGYFggv/1009-T-55-A-destr-09-05-24.jpg,1963.0,2024-05-09
7,T-55A,Tanks,damaged,Soviet Union,USSR,Russia,RU,https://postimg.cc/jdFBJdQb,https://i.postimg.cc/jdFBJdQb/1027-t55-dam-05-08-23.jpg,1963.0,2023-08-05
8,T-55A Obr. 1981,Tanks,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/d0yGQ3Qk,https://i.postimg.cc/d0yGQ3Qk/1018-T-55-A-Obr-1981-destr-15-09-24.jpg,,2024-09-15
9,Unknown T-54/55,Tanks,destroyed,Soviet Union,USSR,Russia,RU,https://twitter.com/CalibreObscura/status/1670510694838546436,https://twitter.com/CalibreObscura/status/1670510694838546436,1946.0,
10,Unknown T-54/55,Tanks,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/3RPYPYV5,https://i.postimg.cc/3RPYPYV5/1006-unkn-t55-destr-28-03-24.jpg,1946.0,2024-03-28
11,Unknown T-54/55,Tanks,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/ZYFMJhb0,https://i.postimg.cc/ZYFMJhb0/1045-T-54-or-55-destr-27-06-24.jpg,1946.0,2024-06-27
12,Unknown T-54/55,Tanks,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/sD6gn73J,https://i.postimg.cc/sD6gn73J/1120-T-54-or-55-destr-28-02-25.jpg,1946.0,2025-02-28
