id,name,type,status,day,month,year,manufacturer,manufacturer_abbr,user,user_abbr,proof,year_first_produced
1,M-55S,Tanks,destroyed,,,,Slovenia,SLVN,Ukraine,UA,https://twitter.com/UAWeapons/status/1682710915811033092,1999.0
2,M-55S,Tanks,damaged,,,,Slovenia,SLVN,Ukraine,UA,https://twitter.com/UAWeapons/status/1680549443043483654,1999.0
3,T-64A,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postimg.cc/dVvPF6kS,1977.0
4,T-64A,Tanks,captured,,,,Soviet Union,USSR,Ukraine,UA,https://postimg.cc/kXYMFPXM,1977.0
5,T-64B,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postimg.cc/pX1zHz7L,1976.0
6,T-64B,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postimg.cc/FK3FZ04Q,1976.0
7,T-64B,Tanks,captured,4.0,3.0,22.0,Soviet Union,USSR,Ukraine,UA,https://postimg.cc/9fH0rFwJ,1976.0
8,T-64B,Tanks,damaged and captured,,,,Soviet Union,USSR,Ukraine,UA,https://twitter.com/UAWeapons/status/1633907229647618048,1976.0
9,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postimg.cc/vZnd6LYT,1976.0
10,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postimg.cc/59wN4Ybq,1976.0
11,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postimg.cc/442p3Kn8,1976.0
12,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postimg.cc/Njvhbd38,1976.0
13,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postimg.cc/jSkfDQJC,1976.0
14,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postimg.cc/jSkfDQJC,1976.0
15,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postimg.cc/C1XTdKjW,1976.0
16,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postimg.cc/44zyTqfZ,1976.0
17,T-64BV,Tanks,destroyed,31.0,3.0,22.0,Soviet Union,USSR,Ukraine,UA,https://postimg.cc/LXSthY18,1976.0
18,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://twitter.com/UAWeapons/status/1641178598454226944,1976.0
19,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postimg.cc/xCh7ZpMw,1976.0
20,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postimg.cc/XvZLPhKf,1976.0
21,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postimg.cc/8zC4rW64,1976.0
22,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postimg.cc/LXjZKyB3,1976.0
23,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postimg.cc/GpXfM7DH,1976.0
24,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postimg.cc/MpP3ydft,1976.0
25,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postimg.cc/15YP8yQG,1976.0
26,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postimg.cc/15hWDxMQ,1976.0
27,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postimg.cc/m1wCg20r,1976.0
28,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postimg.cc/YqRKxCHL,1976.0
29,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postimg.cc/Dw7LbFQz,1976.0
30,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postimg.cc/xTdfVcCD,1976.0
31,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postimg.cc/fLNrqgBC,1976.0
32,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postimg.cc/fyK8zRsN,1976.0
33,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postimg.cc/prjPXPJ9,1976.0
34,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postimg.cc/prjPXPJ9,1976.0
35,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postimg.cc/QNwyyn6n,1976.0
36,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postimg.cc/2SV3vjL6,1976.0
37,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postimg.cc/HxJTB3XX,1976.0
38,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postimg.cc/Z5qPwc6K,1976.0
39,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://twitter.com/UAWeapons/status/1521098647341043715,1976.0
40,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postlmg.cc/cvsC9377,1976.0
41,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postimg.cc/6QWpB0Bh,1976.0
42,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postimg.cc/PJJcNT5T,1976.0
43,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postimg.cc/tgnHYb2n,1976.0
44,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postimg.cc/kGb27KBJ,1976.0
