vehicle_name,year_first_produced
Su-25,1978.0
MiG-29AS'/UBS',1983.0
MiG-29As/UB,1983.0
MiG-29,1983.0
F-16A/B,1974.0
F-16AM/BM,1974.0
Mi-17V5,1977.0
Mi-8MT,1961.0
Mi-24V,1976.0
Mi-2,1965.0
Mi-17,1977.0
Westland Sea King,1969.0
Mi-8T,1977.0
Mi-8PS,1961.0
Mi-8MTV-1,1961.0
Mi-8MTV-1VA,1961.0
Mi-8,1961.0
Mi-24K,1976.0
Ka-32A11BC,1982.0
Bayraktar TB2,2014.0
T-72M1,1979.0
T-72M(R)s and T-72M1(R),1979.0
T-72A,1979.0
M-55S',1999.0
T-72EA,2022.0
Leopard 2A4,1985.0
Leopard 2A6,2007.0
Challenger 2,1998.0
PT-91,1990.0
Strv 122,1997.0
Leopard 1A5,1986.0
Leopard 1A5BE,1986.0
M1A1 Abrams',1985.0
Fennek,2001.0
AMX-10 RC(R),1981.0
BPzV Svatava,
FV107 Scimitar Mk II,2011.0
Combat And Logistics Vehicle,
BVP-1,1966.0
Pbv 501A,1966.0
BWP-1,1966.0
BVP M-80A,1970.0
BMP-1A1,1966.0
Marder 1A3,1988.0
M2A2 ODS Bradley,1991.0
M7 BFIST,
CV9040C,1993.0
KTO Rosomaks**,2001.0
AIFV-B-C25,1970.0
YPR-765,1970.0
M113,1960.0
M577,1963.0
FV103 Spartan,1978.0
M113AS4,1960.0
M113G3DK/G4DK,1960.0
M113 Armoured Medical Treatment Vehicle,1960.0
VAB,
Sisu XA-185,1984.0
FV104 Samaritan,
TAB-71M,1970.0
Armoured Combat Support Vehicles (ACSVs),
Bandvagn BvS 10,2014.0
Bandvagn BV 206S',1980.0
Stryker,2002.0
Valuk,1996.0
M1117 ASV,1999.0
Armoured Personnel Carriers (Including FV430 Bulldogs),2006.0
BTR-60PB,1966.0
MT-LB,1970.0
RG-31 Nyala Ambulance,
Bushmaster Protected Mobility Vehicle,1997.0
Alvis 4s ''Mamba'',
Wolfhound Heavy Tactical Support Vehicle,2002.0
Mastiff Protected Patrol Vehicle,2002.0
International M1224 MaxxPro,2007.0
BMC Kirpi**,2009.0
Dingo,2000.0
Cougar 4x4,2002.0
Cougar 6x6,2002.0
Oshkosh M-ATV,2009.0
Unknown MRAP,
Dingo 2s Equipped With CORTEX Typhon RWS To Counter Uncrewed Aerial Systems (C-UAS),2000.0
HMMWV,1983.0
Husky Tactical Support Vehicle,2006.0
Roshel Senator,2018.0
AMZ Dzik-2,2004.0
VTLM Lince,1990.0
Iveco LAV III,
Inkas Titan-S 4x4,
BATT UMG,
Panthera T6,
Iveco LMV,1990.0
Otokar Cobra IIs**,2013.0
Light Tactical Vehicle,
Caracal 4x4,
122mm D-30,1960.0
155mm M777,2005.0
152mm D-20,1947.0
155mm FH-70,1968.0
130mm M-46,1981.0
105mm L118/L119,1974.0
105mm M119,1989.0
155mm TRF1s*,1990.0
105mm M101,1941.0
105mm OTO Melara Mod 56,1950.0
152mm 152 K89s (2A36 Giatsint-Bs),1975.0
152mm M1981s (D-20s),1947.0
130mm 130 K54s (M-46s),1981.0
152mm DANA M2,2018.0
122mm 2S1 Gvozdika,1972.0
122mm 2S1 Go dzik,1972.0
155mm Caesar 6x6,2008.0
155mm M109A3GN,1969.0
155mm PzH 2000,1998.0
155mm AHS Krab,2008.0
LPG WDSz,
155mm ShKH Zuzana 2s*,1998.0
155mm M109A5 ,1979.0
155mm M109L,1979.0
120mm Panzerm rser M113,1960.0
155mm M109A4BE,1969.0
81mm/120mm M113 Mortar Variant,1960.0
155mm AS-90,1992.0
155mm Caesar 8x8,2008.0
155mm M109A6,1994.0
120mm Alakran Mortar On Toyota Land Cruisers**,
122mm 122 PSH 74s (2S1 Gvozdikas),1972.0
155mm Archer Artillery System,2016.0
155mm T-155 F rt na,1995.0
155mm RCH-155s*,2022.0
120mm M120 Raks*,2017.0
122mm RM-70,1972.0
122mm BM-21 Grad,1963.0
230mm TRLG-230,
122mm RM-70 Vampir,1972.0
227mm HIMARS,2010.0
227mm M270B1 MLRS,2005.0
227mm M270 MARS MLRS,1983.0
227mm M270A1 MLRS-I,2005.0
227mm LRU MLRS,1983.0
128mm RAK SA-12,
122mm APR-40,1963.0
23 ItK 61,
Zastava M55,
Zastava M75,
Bofors 40L70,1952.0
AZP S-60,1950.0
''Anti-Aircraft Guns'',
CORTEX Typhon integrated anti-drone system,
Gepard,1976.0
ZSU-23-4 Shilka,1960.0
Hibneryt self-propelled anti-aircraft gun,
Oerlikon Skynex System,2011.0
Cheetah PRTL,
S-300PMU Battery,1985.0
9K35 Strela-10M,1976.0
Stormer HVM,1981.0
IRIS-T SLM System,2015.0
NASAMS batteries,1997.0
Spada 2000 Battery,
Crotale NG batteries,1970.0
MIM-23 Hawk Phase I/III (21) Battery,1960.0
MIM-23 Hawk Firing Unit,1960.0
AN/TWQ-1 Avenger,1989.0
S-125 Newa SC,1961.0
9K33 Osa-AK(M),1971.0
Osa-AKM-P1 Żądło,1971.0
SkyGuard Aspide,
Spada,
Patriot Battery,1981.0
Patriot Launcher,1981.0
SAMP/T Battery,2001.0
Supacat HMT-based ASRAAM SAM Launcher,1999.0
IRIS-T SLS Launcher,2015.0
2K12M2 Kub-M2s batteries,1967.0
Vampire Counter-Unmanned Aerial System,
NASAMS Battery,1997.0
NASAMS Firing Unit,1997.0
2K12M2 Kub-M2,1967.0
AGM-84 Harpoon (Launcher and Missiles),1977.0
