name,year_first_produced
Unknown T-54/55,1946
T-55A,1963
T-62 Obr. 1967,1967
T-62M,1983
T-62M Obr. 2022,2022
T-62MV,1985
T-62MV Obr. 2022,2022
T-64A,1977
T-64BV,1976
T-72 'Ural',1973
T-72A,1979
T-72AV,1979
T-72B,1985
T-72B Obr. 1989,1989
T-72B Obr. 2022,2022
T-72BA,1998
T-72B3,2010
T-72B3 Obr. 2014,2014
T-72B3 Obr. 2016,2016
T-72B3 Obr. 2022,2022
Unknown T-72,1973
T-80B,1978
T-80BV,1985
T-80BV Obr. 2022,2022
T-80U,1985
T-80UK,1985
T-80UE-1,1999
T-80UM2,1995
T-80BVM,2017
T-80BVM Obr. 2022,2022
Unknown T-80,1976
T-90A,1992
T-90AK,1992
T-90S,2001
T-90M,2017
Unknown tank,
BMPT Terminator,2017
BRM-1(K) reconnaissance vehicle,1972
BRM-1K Obr. 2021,2021
BRDM-2,1962
BRDM-2M,2020
BRDM-2RKhb chemical reconnaissance vehicle,2020
BRDM-2-based ZS-82 PsyOps vehicle,1962
BTR-80-based ZS-88 PsyOps vehicle,1986
BTR-80 with 57mm UB-32 unguided aircraft rocket pods,1986
MT-LB,1970
MT-LBVM and MT-LBVMK,2000
MT-LB with ZU-23 AA gun,1970
MT-LB With 14.5mm BPU-1 Turret,1970
MT-LB with 14.5mm 2M-7 naval gun mount,1970
MT-LB with AZP S-60 AA gun,1970
MT-LB with 100mm MT-12 anti-tank gun,1970
MT-LB with 82-mm automatic mortar 2B9 Vasilek,1970
MT-LBu,1970
Vityaz DT-10PM articulated tracked carrier,1982
Vityaz DT-30 articulated tracked carrier,1982
GAZ-3344-20 'Aleut' articulated tracked carrier,
2S1 with ZU-23 AA gun,1972
Unknown BTR-D,1974
BMM-80 ambulance,1986
Unknown AFV,
BMP-1(P),1975
BMP-1AM,2018
BMP-2(K),1980
BMP-2M Berezhok,2008
BMP-2 675-sb3KDZ,
Unknown BMP-1/2,1975
BMP-3,1987
BMP-3 688M sb. 3KDZ,1987
MT-LBM 6MB,1990
BMD-2,1985
BMD-4M,2017
BTR-82A(M),2013
BTR-50,1954
BTR-60PB,
BTR-70,1972
BTR-70M,1986
BTR-80,1986
Unknown BTR-80/BTR-82A,1986
Remdiesel Z-STS Akhmat,
Ural-VV,
BTR-D,1974
BTR-MDM Rakushka,1990
BMO-T,2001
KamAZ-63968 Typhoon,2014
KamAZ-435029 Patrol-A,
K-53949 Typhoon-K,2023
K-53949 Linza,2023
BPM-97 Vystrel,1999
GAZ Tigr,2005
GAZ Tigr-M,2010
AMN-590951,
Iveco LMV Rys,1990
GAZ-3937 Vodnik,2005
BMP-1KSh command and staff vehicle,1972
BMD-1KSh-A command vehicle,1969
BTR-60PU-12command vehicle,1972
R-145BM command vehicle,1966
R-145BM1 command vehicle,1966
R-145BMA command vehicle,1966
R-142NSA command and signals vehicle,
R-149MA1 command and staff vehicle,
R-149MA3 command and staff vehicle,
APE-5 command post,
MSh-5350.1 command vehicle,
9S470M1 (or variant thereof) command post (for Buk-M1/2),1980
Barnaul-T 9C932-1 automated system for air defence units,
"9S932-2 intelligence, control and command vehicle (for Barnaul-T)",
Command vehicle for Podlet-K1 low-altitude S-band surveillance radar,
55K6A command post for S-400,2007
R-149AKSh-1 command and signals vehicle,
R-149BMRg command and signals vehicle,
R-161 signals vehicle,
R-166-0.5 signals vehicle,
P-240 digital communications vehicle,
P-260 Redut-2US communication system,
P-260-U signals vehicle (for Redut-2US signal and communications system),
R-431AM antenna module for the Redut-2US communications system,
