name,year_first_produced
Example,
M-55S,1999
T-64A,1977
T-64B,1976
T-64BV,1976
T-64BV Zr. 2017,2017
T-64B1M,1970
T-64BM 'Bulat',2004
T-64BM2 'Bulat',2004
Unknown T-64,1965
T-72 'Ural',1973
T-72M,1979
T-72EA,2022
T-72AV,1979
T-72B,1985
T-72AMT,2017
T-72AMT Zr.22,2017
PT-91 Twardy,1995
Unknown T-72,1973
T-BV,1985
Leopard 2A4,1985
Leopard 2A6,2008
Stridsvagn 122,1997
Challenger 2,1998
Unknown tank,
AMX-10 RC(R),1981
BRM-1(K) reconnaissance vehicle,1972
BRDM-2,1962
BRDM-2L1,
BRDM-2RKhb chemical reconnaissance vehicle,
Vepr,2006
MT-LB,1970
MT-LB with ZU-23 AA gun,1970
MT-LB with BPU-1 turret,1970
BTS-4 ARV with ZU-23 AA gun,
MT-LBu,1970
MT-LB-S Ambulance,1970
BMM-70 Ambulance,
BMM-4C Ambulance,
Unknown AFV,
BMP-1(P),1975
BMP-1TS,2021
BMP-1U Shkval,2001
BWP-1,1966
Pbv 501A,1999
BVP M-80A,1979
BMP-2(K),1980
Unknown BMP-1,1966
PRP-3 with a BMD-2 turret,
PRP-3 with a BMP-1 turret,
BMD-2,1985
M2A2 Bradley ODS-SA,1988
CV9040C,1994
Marder 1A3,1971
BTR-3,2000
BTR-4,2014
KTO Rosomak,2003
BTR-60PB,1966
BTR-70,1972
BTR-70M,1986
BTR-7,2011
BTR-80,1986
BTR-80M,1993
BTR-D,1974
GT-MU AFV converted to APC,1960
Unknown BTR,
YPR-765,1977
M113,1960
M113AS4,2005
M113G3DK,2001
FV103 Spartan,1978
VAB,
Sisu XA-185,1984
M1126 Stryker,2002
KrAZ-MPV Shrek One,
KrAZ-Forpost,
Alvis 4 'Mamba',
Mastiff Protected Patrol,
Wolfhound Protected Patrol,
Bushmaster Protected Mobility Vehicle,1997
International M1224 MaxxPro,2007
Oshkosh M-ATV,2009
ATF Dingo,2000
BMC Kirpi,2009
KrAZ Cobra,
KrAZ Cougar,
KrAZ Spartan,2014
Novator,2019
Varta,
Kozak-2,2015
Kozak-2M1,2019
Kozak-5,
Kozak-7,
Triton-1,
M1114 and M1151 HMMWV,1983
M1152 HMMWV,1996
M998 HMMWV,1983
M1165 HMMWV,1997
M1123 HMMWV,1983
HMMWV Ambulance,1983
Unknown HMMWV variant,1983
AT5A Saxon,
Husky Tactical Support Vehicle,
Iveco LMV,1990
MLS Shield,
INKAS Titan-S,
Panthera T6,
Roshel Senator,2018
AMZ Dzik-2,2004
Oncilla,
Unknown IMV,
BMP-1KSh command and staff vehicle,1972
K1Sh1 command and staff vehicle,
R-142N command and staff vehicle,
BTR-DI2 'Svityaz' command and staff vehicle,
R-145BM command vehicle,1966
BTR-PU-12 air defence command vehicle,
R-9A radio station vehicle,
R-5M radio station vehicle,
9S4M1 command vehicle for Buk-M1,
R-845 radio station,
ZiL-131-based KShM KUNG command vehicle,
Radio relay station for the TB2 UCAV,2014
Control station for the TB2 UCAV,2014
SkyGuard Aspide control station,
IMR-2 combat engineering vehicle,
BMR-2 mine-clearing tank,1975
T-64 mine-clearing tank,1966
Leopard 2R mine-clearing tank,
Wisent 1 mine-clearing tank,
BAT-2 heavy engineering vehicle,1966
MT-T multi-purpose tracked transporter,
IRM 'Zhuk' engineer reconnaissance vehicle,
MDK-3 trench-digging vehicle,
RKhM 'Kashalot',
BREM-Ch ''BREM-4'' armoured recovery vehicle,1973
BTS-4A armoured recovery vehicle,1955
BREM-1 armoured recovery vehicle,1973
M88A1 armoured recovery vehicle,1977
Bergepanzer 2 armoured recovery vehicle,
Ural-43 KET-L recovery vehicle,1977
M1132 Stryker Engineering Squad Vehicle,2002
MTO-AT mobile workshop,
PTS-2 tracked amphibious transport,
PMP floating bridge,
TMM-3M1 bridge layer,
Pontoon bridge,
KrAZ-255B with excavator,1967
KrAZ-255B pontoon bridge layer,1967
KrAZ-255B with KS-3575 crane,1967
KrAZ-6322 Master mobile workshop,1994
GMZ-3 minelayer,1968
PZM-2 trench-digging vehicle,
UMP-3 engine heater,
ARS-14 decontamination and degassing vehicle,
Ural-43 KT-L recovery vehicle,1977
BMK-4 towing and motor boat,
TDA-M mobile smoke generator,
AK4-9A 'Porosha' airfield air conditioner based on KamAZ-5320,
9P148 Konkurs ATGM carrier,1974
9P149 Shturm-S ATGM carrier,1970
1V13 battery command and forward observer vehicle,
1V14 battery command and forward observer vehicle,
1V15 battery command and forward observer vehicle,
1V16M artillery battalion command and staff vehicle,
1V18 'Klyon-1' artillery command and forward observer vehicle,
9T452 transporter-loader (for BM-27 'Uragan' MRL),1975
100mm BS-3 anti-tank gun,
100mm MT-12 anti-tank gun,1970
105mm L119 howitzer,1974
120mm 2B16 Nona-K gun mortar,1981
122mm D-30 howitzer,1960
130mm M-46 field gun,
152mm D-20 gun-howitzer,1950
152mm 2A36 Giatsint-B field-gun,1975
152mm 2A65 Msta-B howitzer,1987
155mm FH-70 howitzer,1978
155mm TRF1 howitzer,1990
155mm M777A2 howitzer,2005
Unknown towed artillery,
120mm Bars-8MMK,
120mm BTR-3M2,2000
120mm 2S9 Nona,1981
120mm BRM-1K with 2S9 Nona turret,1981
120mm M1064A3,1990
120mm Alakran,
122mm 2S1 Gvozdika,1972
152mm 2S3 Akatsiya,1971
152mm 2S5 Giatsint-S,1978
152mm 2S19 Msta-S,1989
155mm M109A3,1963
155mm AHS Krab,1997
203mm 2S7 Pion,1976
155mm ShKH Zuzana 2,2009
155mm Caesar 6x6,
155mm Caesar 8x8,
155mm Panzerhaubitze 2000,1998
152mm ShKH vz. 77 DANA,1981
155mm AS-90,1992
Unknown SPG,
80mm B-8 makeshift MRL,
122mm BM-21 Grad,1963
122mm Bastion-1,
220mm BM-27 Uragan,1975
220mm Bureviy,
122mm RM-80,
23mm ZU-23,1960
23mm 23 ItK 61,
BTR-ZD Skrezhet,1974
ZSU-23-4 Shilka,1957
2K22M Tunguska-M,2003
9K33 Osa,1971
9K35 Strela-10,1976
Stormer HVM,
9A3M1 TELAR (for Buk-M1),1980
9A39M1 TEL (for Buk-M1),1980
9A3 Tor TLAR (for 9K330 Tor),1986
5P851A (Launcher for S-300PT-1A),1978
5P85D (launcher for S-300PS),1985
5P85S (launcher for S-300PS),1985
5P85D,
Launcher for S-300,
P-14 'Tall King',1959
P-18 'Spoon Rest D',1970
P-18 'Malakhit',
79K6 'Pelikan' 3D surveillance radar,
P-19 'Flat Face B',
P-35,1958
PRV-11 'Side Net',
PRV-13 'Odd Pair',
PRV-16 'Thin Skin B',
1L22 'Parol',
36D6 'Tin Shield',
5N63S 'Flap Lid B' (for S-0PS),
5N63-1 'Flap Lid A' on V6M mast (for S-0PT),
5N66M 'Clam Shell' on V6M mast (for S-0PT),
"R-4-7,5 tropospheric radio relay communication station",
SNAR-10 battlefield surveillance radar,
1B44-1 (RPMK-1) radiosonde weather radar,
ST-68U radar,
PRV-16ML height-finder radar,
P-18ML long-range VHF surveillance radar,
AN/MPQ-64 Sentinel radar,1995
TRML-4D multi-functional radar (for IRIS-T SLM),2005
AN/TPQ-36,1982
AN/TPQ-37,1980
AN/TPQ-49,1991
AN/TPQ-50,
ARTHUR counter-battery radar,1994
Unknown counter mortar,
NOTA,
Bukovel-AD EW system,2016
MiG-29 fighter aircraft,1983
Su-27 fighter aircraft,1985
Su-25 close air support aircraft,1978
Su-24M strike aircraft,1979
Su-24MR tactical reconnaissance aircraft,19
L-39 Albatros,1972
Unknown fighter jet,
Il-76 transport aircraft,1976
An-26 transport aircraft,1970
Mi-2 training helicopter,1967
Mi-8 transport helicopter,1961
Mi-14PS maritime helicopter,1975
Mi-17V5,1977
Mi-24P attack helicopter,1981
Mi-24 attack helicopter,1972
Airbus H225 transport helicopter,2005
Bayraktar TB2,2014
Avenger,
A1-SM Fury,
ASU-1 Valkyrja,
Leleka-0,
Spaitech Sparrow,
Spectator-M1,
Dovbush T,
PD-1,
UJ-22,
ITEC Skif,
Shark,
Mara-2M,
Chaklun,
Orlik,
Primoco One 1,
FlyEye,
Penguin C,
Poseidon H,
EOS-C VTOL,
Bayraktar Mini,2007
AeroVironment RQ-20 Puma,2008
AeroVironment Quantix Recon UAV,
Boeing Insitu ScanEagle 2,
Malloy Aeronautics T1 cargo UAV,
Unknown reconnaissance UAV,
Krivak III-class frigate,1970
Gyurza-M-class gunboat,2012
Island-class patrol boat,
Stenka-class patrol boat (Operated by the Sea Guard),1967
Zhuk-class patrol boat (Sea Guard),1969
Sorum-class seagoing tugboat,1974
Project 376 Yaroslavets-class general purpose tugboat,
Project 1258 Yevgenya-class minesweeper,1067
Pr.304 Amur-class command ship,
Project 58181 Centaur-class fast assault boat,2016
UMS-600 patrol boat (Sea Guard),
UMS-1000 patrol boat (Sea Guard),
Project 50030 Kalkan-class patrol boat (Sea Guard),
Unknown patrol boat (Sea Guard),
KrAZ-214,1956
KrAZ-255B,1967
KrAZ-260,1979
KrAZ-6322,1994
KrAZ-6322 Raptor,1994
KrAZ-6446,
KrAZ-5233,2008
ATs-10-260 Fuel Tanker,
Bogdan-5316,
Bogdan-63172,
Bogdan-63172 'Kozak',
9T217 transloader (for 9K33 Osa),1971
GAZ-53,1961
GAZ-63,1948
GAZ-66,1964
GAZ-66 tanker,1964
GAZ-38,1997
GAZ-38 tanker,1997
ZiL-130,1962
ZiL-130 tanker,1962
ZiL-131,1964
ZiL-131 tanker,1964
ZiL-157,1958
ZiL-181,
ZiL-4331,
Ural-375D,1961
Ural-43,1977
Ural tanker,
KamAZ 6x6,
KamAZ 6x6 tanker,
MAZ-537,1959
MAZ AC-8-500A Tanker,
MAZ-5336,
MAZ-5337 fuel tanker,
MAZ TZ-500 tanker,
FMTV M1083A1P2,1982
Jelcz P882 D53,
Mercedes-Benz Unimog U10L ambulance,
Pinzgauer Vector 718,1971
Land Rover Defender,
UAZ-469 jeep,1971
UAZ-31514,1985
UAZ-452 van,1965
Armoured Volkswagen Amarok pickup truck,2010
Bogdan-2251 ambulance pickup truck,
Armed pickup truck,
Armed tactical buggy,
Ford Ranger,
Peugeot P4,1978
DAF YAD 4442 NT,
Iveco Magirus 90-16 AW 4x4,
Iveco VM90,1998
Downgraded Mowag Eagle II,2003
Unknown truck,
Unknown vehicle,
